epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,456.715,0.64741,0.7402,1,0.64841,0.003,0.003,0.003
2,491.005,0.49812,0.77649,1,0.62954,0.00608792,0.00608792,0.00608792
3,524.501,0.63079,0.72569,1,0.71228,0.00916357,0.00916357,0.00916357
4,560.679,0.76215,0.76343,1,0.55813,0.0099406,0.0099406,0.0099406
5,596.208,0.60672,0.85922,1,0.55242,0.0099208,0.0099208,0.0099208
6,633.497,0.50347,0.76923,1,2.6643,0.009901,0.009901,0.009901
7,667.956,0.52112,0.86212,1,0.39358,0.0098812,0.0098812,0.0098812
8,701.493,0.40575,0.90131,1,0.24874,0.0098614,0.0098614,0.0098614
9,735.455,0.34992,0.89695,1,0.35743,0.0098416,0.0098416,0.0098416
10,768.41,0.3018,0.93033,1,0.17488,0.0098218,0.0098218,0.0098218
11,801.843,0.30493,0.91727,1,0.18929,0.009802,0.009802,0.009802
12,836.544,0.30635,0.91582,1,0.37762,0.0097822,0.0097822,0.0097822
13,870.394,0.25744,0.93759,1,0.16127,0.0097624,0.0097624,0.0097624
14,903.952,0.27681,0.90566,1,0.21153,0.0097426,0.0097426,0.0097426
15,937.112,0.2548,0.92017,1,0.19103,0.0097228,0.0097228,0.0097228
16,970.738,0.24797,0.93759,1,0.16588,0.009703,0.009703,0.009703
17,1004.06,0.23617,0.9434,1,0.14605,0.0096832,0.0096832,0.0096832
18,1036.99,0.22203,0.9492,1,0.13871,0.0096634,0.0096634,0.0096634
19,1070.78,0.22598,0.93904,1,0.15753,0.0096436,0.0096436,0.0096436
20,1104.91,0.19698,0.94194,1,0.16058,0.0096238,0.0096238,0.0096238
21,1137.78,0.19248,0.94049,1,0.14106,0.009604,0.009604,0.009604
22,1173.31,0.26332,0.93469,1,0.16121,0.0095842,0.0095842,0.0095842
23,1207.66,0.22782,0.92743,1,0.18919,0.0095644,0.0095644,0.0095644
24,1242.35,0.26143,0.89695,1,0.20503,0.0095446,0.0095446,0.0095446
25,1276.97,0.24018,0.94485,1,0.1519,0.0095248,0.0095248,0.0095248
26,1310.88,0.18957,0.94775,1,0.1414,0.009505,0.009505,0.009505
27,1344.84,0.19948,0.93179,1,0.17538,0.0094852,0.0094852,0.0094852
28,1378.14,0.50911,0.94485,1,0.13667,0.0094654,0.0094654,0.0094654
29,1410.92,0.21517,0.92453,1,0.16694,0.0094456,0.0094456,0.0094456
30,1443.56,0.20497,0.9434,1,0.14781,0.0094258,0.0094258,0.0094258
31,1476.28,0.20157,0.9492,1,0.16558,0.009406,0.009406,0.009406
32,1509.39,0.17234,0.95356,1,0.11253,0.0093862,0.0093862,0.0093862
33,1542.24,0.18566,0.95356,1,0.1155,0.0093664,0.0093664,0.0093664
34,1577.17,0.19059,0.94775,1,0.13862,0.0093466,0.0093466,0.0093466
35,1611.75,0.15896,0.91292,1,0.23401,0.0093268,0.0093268,0.0093268
36,1647.41,0.17253,0.94775,1,0.12575,0.009307,0.009307,0.009307
37,1681.52,0.16146,0.95356,1,0.11371,0.0092872,0.0092872,0.0092872
