epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.6652,0.08966,0.56757,1,1.04458,2.222e-05,2.222e-05,2.222e-05
2,86.6541,0.07703,0.72973,1,0.75337,5.533e-05,5.533e-05,5.533e-05
3,125.62,0.08383,0.75676,1,0.52334,8.81761e-05,8.81761e-05,8.81761e-05
4,165.062,0.05802,0.83784,1,0.37466,0.000120758,0.000120758,0.000120758
5,204.004,0.09587,0.83784,1,0.296,0.000153076,0.000153076,0.000153076
6,242.527,0.04408,0.86486,1,0.24171,0.00018513,0.00018513,0.00018513
7,282.891,0.03582,0.86486,1,0.22858,0.000216921,0.000216921,0.000216921
8,321.511,0.02328,0.86486,1,0.22001,0.000248447,0.000248447,0.000248447
9,361.121,0.02792,0.89189,1,0.22249,0.000279709,0.000279709,0.000279709
10,400.038,0.0143,0.89189,1,0.23117,0.000310707,0.000310707,0.000310707
11,439.098,0.03506,0.89189,1,0.24442,0.000341441,0.000341441,0.000341441
12,477.258,0.00452,0.89189,1,0.25402,0.000371912,0.000371912,0.000371912
13,515.049,0.03618,0.86486,1,0.29987,0.000402118,0.000402118,0.000402118
14,552.847,0.02969,0.81081,1,0.4012,0.00043206,0.00043206,0.00043206
15,599.106,0.03261,0.81081,1,0.3954,0.000461739,0.000461739,0.000461739
16,638.008,0.0104,0.81081,1,0.38551,0.000491153,0.000491153,0.000491153
17,675.462,0.01568,0.81081,1,0.40532,0.000520304,0.000520304,0.000520304
18,713.38,0.02289,0.83784,1,0.24247,0.00054919,0.00054919,0.00054919
19,750.261,0.00643,0.91892,1,0.22058,0.000577812,0.000577812,0.000577812
20,788.988,0.0077,0.94595,1,0.23785,0.000606171,0.000606171,0.000606171
21,826.097,0.01069,0.94595,1,0.16268,0.000634265,0.000634265,0.000634265
22,864.555,0.00874,0.97297,1,0.1042,0.000662096,0.000662096,0.000662096
23,902.005,0.00221,0.97297,1,0.07703,0.000689663,0.000689663,0.000689663
24,940.021,0.00426,0.97297,1,0.07432,0.000716965,0.000716965,0.000716965
25,976.636,0.00501,0.97297,1,0.07123,0.000744004,0.000744004,0.000744004
26,1015.45,0.00534,1,1,0.04962,0.000770778,0.000770778,0.000770778
27,1052.42,0.01804,0.97297,1,0.05785,0.000797289,0.000797289,0.000797289
28,1092.86,0.00301,0.97297,1,0.08042,0.000823536,0.000823536,0.000823536
29,1132.26,0.05056,0.97297,1,0.14633,0.000849519,0.000849519,0.000849519
30,1171.8,0.01104,0.86486,1,0.47168,0.000875237,0.000875237,0.000875237
31,1218.28,0.03654,0.83784,1,0.65031,0.000900692,0.000900692,0.000900692
32,1257.18,0.07508,0.75676,1,0.73416,0.000925883,0.000925883,0.000925883
33,1295.71,0.06105,0.75676,1,0.97351,0.00095081,0.00095081,0.00095081
34,1334.67,0.16671,0.75676,1,1.45411,0.000965815,0.000965815,0.000965815
35,1372.92,0.0858,0.75676,1,1.56826,0.000961415,0.000961415,0.000961415
36,1410.47,0.10926,0.81081,1,1.22832,0.000957015,0.000957015,0.000957015
37,1448.83,0.09918,0.86486,1,0.96066,0.000952616,0.000952616,0.000952616
38,1487.88,0.09933,0.78378,1,0.80577,0.000948216,0.000948216,0.000948216
39,1525.09,0.09115,0.81081,1,1.10477,0.000943817,0.000943817,0.000943817
40,1562.96,0.05362,0.78378,1,1.23009,0.000939417,0.000939417,0.000939417
41,1601.99,0.04699,0.78378,1,1.60794,0.000935018,0.000935018,0.000935018
42,1644.75,0.05525,0.78378,1,1.88443,0.000930618,0.000930618,0.000930618
43,1683.66,0.07181,0.83784,1,1.37209,0.000926218,0.000926218,0.000926218
44,1721.97,0.01209,0.86486,1,1.07474,0.000921819,0.000921819,0.000921819
45,1760.93,0.08465,0.86486,1,0.73588,0.000917419,0.000917419,0.000917419
46,1797.89,0.09324,0.86486,1,0.8351,0.00091302,0.00091302,0.00091302
47,1844.6,0.03642,0.83784,1,1.143,0.00090862,0.00090862,0.00090862
48,1884.87,0.04479,0.78378,1,1.19645,0.000904221,0.000904221,0.000904221
49,1924.51,0.05445,0.89189,1,0.80278,0.000899821,0.000899821,0.000899821
50,1964.1,0.19773,0.89189,1,0.63845,0.000895422,0.000895422,0.000895422
51,2003.44,0.03639,0.83784,1,0.97349,0.000891022,0.000891022,0.000891022
